"","X","BRCA","COAD","KIRC","LUAD","PRAD"
"1","sample_0",0,0,0,0,1
"2","sample_1",0,0,0,1,0
"3","sample_2",0,0,0,0,1
"4","sample_3",0,0,0,0,1
"5","sample_4",1,0,0,0,0
"6","sample_5",0,0,0,0,1
"7","sample_6",0,0,1,0,0
"8","sample_7",0,0,0,0,1
"9","sample_8",1,0,0,0,0
"10","sample_9",0,0,0,0,1
"11","sample_10",1,0,0,0,0
"12","sample_11",0,0,1,0,0
"13","sample_12",0,0,0,0,1
"14","sample_13",1,0,0,0,0
"15","sample_14",1,0,0,0,0
"16","sample_15",1,0,0,0,0
"17","sample_16",0,0,0,1,0
"18","sample_17",0,0,1,0,0
"19","sample_18",0,0,1,0,0
"20","sample_19",0,0,0,0,1
"21","sample_20",1,0,0,0,0
"22","sample_21",0,0,1,0,0
"23","sample_22",0,0,0,1,0
"24","sample_23",1,0,0,0,0
"25","sample_24",0,0,1,0,0
"26","sample_25",0,0,0,1,0
"27","sample_26",0,1,0,0,0
"28","sample_27",1,0,0,0,0
"29","sample_28",1,0,0,0,0
"30","sample_29",1,0,0,0,0
"31","sample_30",1,0,0,0,0
"32","sample_31",1,0,0,0,0
"33","sample_32",0,0,1,0,0
"34","sample_33",1,0,0,0,0
"35","sample_34",0,0,0,0,1
"36","sample_35",1,0,0,0,0
"37","sample_36",0,0,1,0,0
"38","sample_37",0,0,0,1,0
"39","sample_38",1,0,0,0,0
"40","sample_39",1,0,0,0,0
"41","sample_40",0,0,1,0,0
"42","sample_41",0,0,0,0,1
"43","sample_42",0,0,0,0,1
"44","sample_43",0,0,1,0,0
"45","sample_44",0,0,1,0,0
"46","sample_45",1,0,0,0,0
"47","sample_46",0,0,0,0,1
"48","sample_47",0,1,0,0,0
"49","sample_48",1,0,0,0,0
"50","sample_49",0,0,0,1,0
"51","sample_50",1,0,0,0,0
"52","sample_51",0,0,0,1,0
"53","sample_52",1,0,0,0,0
"54","sample_53",0,0,0,0,1
"55","sample_54",0,1,0,0,0
"56","sample_55",1,0,0,0,0
"57","sample_56",1,0,0,0,0
"58","sample_57",0,1,0,0,0
"59","sample_58",0,0,1,0,0
"60","sample_59",1,0,0,0,0
"61","sample_60",0,0,0,1,0
"62","sample_61",0,0,1,0,0
"63","sample_62",1,0,0,0,0
"64","sample_63",0,0,0,1,0
"65","sample_64",0,0,0,0,1
"66","sample_65",0,1,0,0,0
"67","sample_66",1,0,0,0,0
"68","sample_67",0,0,0,0,1
"69","sample_68",0,0,1,0,0
"70","sample_69",1,0,0,0,0
"71","sample_70",0,0,1,0,0
"72","sample_71",1,0,0,0,0
"73","sample_72",1,0,0,0,0
"74","sample_73",0,0,0,1,0
"75","sample_74",1,0,0,0,0
"76","sample_75",0,0,0,1,0
"77","sample_76",1,0,0,0,0
"78","sample_77",0,0,1,0,0
"79","sample_78",0,0,0,0,1
"80","sample_79",0,1,0,0,0
"81","sample_80",1,0,0,0,0
"82","sample_81",0,0,0,0,1
"83","sample_82",1,0,0,0,0
"84","sample_83",1,0,0,0,0
"85","sample_84",0,0,0,0,1
"86","sample_85",0,0,0,0,1
"87","sample_86",1,0,0,0,0
"88","sample_87",1,0,0,0,0
"89","sample_88",0,0,1,0,0
"90","sample_89",1,0,0,0,0
"91","sample_90",0,0,0,0,1
"92","sample_91",0,0,0,0,1
"93","sample_92",1,0,0,0,0
"94","sample_93",1,0,0,0,0
"95","sample_94",1,0,0,0,0
"96","sample_95",0,0,0,0,1
"97","sample_96",0,1,0,0,0
"98","sample_97",1,0,0,0,0
"99","sample_98",0,0,0,0,1
"100","sample_99",1,0,0,0,0
"101","sample_100",1,0,0,0,0
"102","sample_101",0,0,1,0,0
"103","sample_102",1,0,0,0,0
"104","sample_103",0,0,1,0,0
"105","sample_104",0,0,0,1,0
"106","sample_105",0,0,1,0,0
"107","sample_106",0,0,0,1,0
"108","sample_107",0,1,0,0,0
"109","sample_108",0,0,0,1,0
"110","sample_109",0,0,0,1,0
"111","sample_110",0,0,0,0,1
"112","sample_111",1,0,0,0,0
"113","sample_112",0,0,0,1,0
"114","sample_113",0,0,0,0,1
"115","sample_114",1,0,0,0,0
"116","sample_115",0,0,1,0,0
"117","sample_116",0,0,1,0,0
"118","sample_117",0,0,1,0,0
"119","sample_118",1,0,0,0,0
"120","sample_119",1,0,0,0,0
"121","sample_120",0,0,0,1,0
"122","sample_121",0,0,1,0,0
"123","sample_122",0,0,0,1,0
"124","sample_123",1,0,0,0,0
"125","sample_124",0,0,0,0,1
"126","sample_125",0,0,0,0,1
"127","sample_126",0,0,0,0,1
"128","sample_127",1,0,0,0,0
"129","sample_128",0,0,1,0,0
"130","sample_129",0,0,0,1,0
"131","sample_130",0,1,0,0,0
"132","sample_131",1,0,0,0,0
"133","sample_132",0,1,0,0,0
"134","sample_133",1,0,0,0,0
"135","sample_134",1,0,0,0,0
"136","sample_135",0,0,1,0,0
"137","sample_136",0,0,0,1,0
"138","sample_137",1,0,0,0,0
"139","sample_138",0,0,1,0,0
"140","sample_139",0,1,0,0,0
"141","sample_140",1,0,0,0,0
"142","sample_141",0,0,0,0,1
"143","sample_142",1,0,0,0,0
"144","sample_143",0,0,1,0,0
"145","sample_144",0,0,0,1,0
"146","sample_145",0,1,0,0,0
"147","sample_146",0,0,0,0,1
"148","sample_147",1,0,0,0,0
"149","sample_148",0,0,0,1,0
"150","sample_149",0,0,0,1,0
"151","sample_150",0,0,0,1,0
"152","sample_151",0,0,0,1,0
"153","sample_152",1,0,0,0,0
"154","sample_153",1,0,0,0,0
"155","sample_154",0,0,0,1,0
"156","sample_155",1,0,0,0,0
"157","sample_156",1,0,0,0,0
"158","sample_157",0,0,0,0,1
"159","sample_158",0,0,0,0,1
"160","sample_159",0,0,0,1,0
"161","sample_160",0,0,0,0,1
"162","sample_161",0,0,0,1,0
"163","sample_162",0,0,1,0,0
"164","sample_163",1,0,0,0,0
"165","sample_164",0,0,0,0,1
"166","sample_165",0,0,0,1,0
"167","sample_166",0,1,0,0,0
"168","sample_167",0,0,1,0,0
"169","sample_168",0,0,0,1,0
"170","sample_169",1,0,0,0,0
"171","sample_170",0,0,1,0,0
"172","sample_171",0,0,0,1,0
"173","sample_172",1,0,0,0,0
"174","sample_173",0,0,0,1,0
"175","sample_174",1,0,0,0,0
"176","sample_175",1,0,0,0,0
"177","sample_176",1,0,0,0,0
"178","sample_177",0,0,0,0,1
"179","sample_178",1,0,0,0,0
"180","sample_179",0,0,1,0,0
"181","sample_180",0,1,0,0,0
"182","sample_181",0,0,1,0,0
"183","sample_182",1,0,0,0,0
"184","sample_183",0,0,0,0,1
"185","sample_184",0,0,0,0,1
"186","sample_185",0,0,0,0,1
"187","sample_186",0,0,0,1,0
"188","sample_187",0,0,0,1,0
"189","sample_188",1,0,0,0,0
"190","sample_189",0,0,0,1,0
"191","sample_190",0,0,0,1,0
"192","sample_191",0,0,1,0,0
"193","sample_192",0,0,0,1,0
"194","sample_193",0,0,0,0,1
"195","sample_194",0,0,0,1,0
"196","sample_195",1,0,0,0,0
"197","sample_196",1,0,0,0,0
"198","sample_197",1,0,0,0,0
"199","sample_198",0,0,0,1,0
"200","sample_199",0,0,0,1,0
"201","sample_200",1,0,0,0,0
"202","sample_201",0,0,1,0,0
"203","sample_202",0,0,1,0,0
"204","sample_203",0,0,1,0,0
"205","sample_204",0,0,1,0,0
"206","sample_205",0,0,0,0,1
"207","sample_206",1,0,0,0,0
"208","sample_207",0,0,0,0,1
"209","sample_208",1,0,0,0,0
"210","sample_209",0,0,0,1,0
"211","sample_210",0,0,0,1,0
"212","sample_211",1,0,0,0,0
"213","sample_212",0,0,0,0,1
"214","sample_213",1,0,0,0,0
"215","sample_214",0,0,0,0,1
"216","sample_215",1,0,0,0,0
"217","sample_216",1,0,0,0,0
"218","sample_217",1,0,0,0,0
"219","sample_218",0,0,0,1,0
"220","sample_219",1,0,0,0,0
"221","sample_220",0,0,1,0,0
"222","sample_221",0,0,0,1,0
"223","sample_222",0,0,1,0,0
"224","sample_223",0,0,1,0,0
"225","sample_224",0,0,0,1,0
"226","sample_225",1,0,0,0,0
"227","sample_226",0,0,1,0,0
"228","sample_227",0,0,0,0,1
"229","sample_228",1,0,0,0,0
"230","sample_229",0,0,0,1,0
"231","sample_230",0,0,0,1,0
"232","sample_231",0,0,0,0,1
"233","sample_232",0,1,0,0,0
"234","sample_233",1,0,0,0,0
"235","sample_234",0,0,1,0,0
"236","sample_235",0,0,0,0,1
"237","sample_236",0,0,1,0,0
"238","sample_237",0,1,0,0,0
"239","sample_238",1,0,0,0,0
"240","sample_239",0,0,1,0,0
"241","sample_240",0,0,1,0,0
"242","sample_241",0,0,0,1,0
"243","sample_242",0,0,0,0,1
"244","sample_243",0,0,0,0,1
"245","sample_244",0,0,0,1,0
"246","sample_245",0,0,0,1,0
"247","sample_246",0,0,1,0,0
"248","sample_247",1,0,0,0,0
"249","sample_248",1,0,0,0,0
"250","sample_249",0,1,0,0,0
"251","sample_250",1,0,0,0,0
"252","sample_251",0,0,0,0,1
"253","sample_252",0,1,0,0,0
"254","sample_253",1,0,0,0,0
"255","sample_254",0,0,0,0,1
"256","sample_255",0,0,1,0,0
